มหาวิทยาลัย,Keyword,ค่าใช้จ่าย,ประเภทหลักสูตร
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วังไกลกังวล,วิศวกรรมคอมพิวเตอร์,15000,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,วิศวกรรมคอมพิวเตอร์,13750,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,วิศวกรรมคอมพิวเตอร์,13750,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย ตรัง,วิศวกรรมคอมพิวเตอร์,13750,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา,วิศวกรรมคอมพิวเตอร์,12000,ภาษาไทย ปกติ
มหาวิทยาลัยศรีปทุม,วิศวกรรมคอมพิวเตอร์,46825,ภาษาไทย ปกติ
มหาวิทยาลัยหอการค้าไทย,วิศวกรรมคอมพิวเตอร์,42500,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมคอมพิวเตอร์,40956,ภาษาไทย ปกติ
มหาวิทยาลัยรังสิต,วิศวกรรมคอมพิวเตอร์,49600,ภาษาไทย ปกติ
มหาวิทยาลัยธุรกิจบัณฑิตย์,วิศวกรรมคอมพิวเตอร์,42125,ภาษาไทย ปกติ
มหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า,วิศวกรรมคอมพิวเตอร์,35250,ภาษาไทย ปกติ
มหาวิทยาลัยสยาม วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,40650,ภาษาไทย ปกติ
สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี,วิศวกรรมคอมพิวเตอร์,49000,ภาษาไทย ปกติ
มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วิศวกรรมปัญญาประดิษฐ์,28000,ภาษาไทย ปกติ
มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,วิศวกรรมปัญญาประดิษฐ์,38000,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมปัญญาประดิษฐ์,25000,ภาษาไทย ปกติ
สถาบันเทคโนโลยีพระจอมเกล้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมปัญญาประดิษฐ์,87500,Joint Degree - นานาชาติ
มหาวิทยาลัยอุบลราชธานี วิทยาเขตหลัก,วิศวกรรมปัญญาประดิษฐ์,28000,ภาษาไทย ปกติ
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,วิศวกรรมปัญญาประดิษฐ์,13750,ภาษาไทย ปกติ
สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี,วิศวกรรมปัญญาประดิษฐ์,48000,ภาษาไทย ปกติ
